Q1,Q2,Q3,Q4,Class
448,547,800,838,ALCHOOL
446,541,799,835,ALCHOOL
445,538,799,833,ALCHOOL
447,546,797,837,ALCHOOL
451,553,800,843,ALCHOOL
453,562,806,854,ALCHOOL
452,558,810,855,ALCHOOL
445,517,798,816,ALCHOOL
438,488,780,770,ALCHOOL
435,479,773,759,ALCHOOL
436,485,770,769,ALCHOOL
441,516,779,813,ALCHOOL
443,529,788,837,ALCHOOL
441,516,785,824,ALCHOOL
438,499,777,805,ALCHOOL
435,493,770,795,ALCHOOL
437,498,769,797,ALCHOOL
440,515,772,815,ALCHOOL
442,524,777,827,ALCHOOL
443,525,781,832,ALCHOOL
444,533,780,838,ALCHOOL
446,533,780,837,ALCHOOL
445,521,777,824,ALCHOOL
442,508,771,807,ALCHOOL
438,499,767,798,ALCHOOL
437,492,764,793,ALCHOOL
436,491,761,793,ALCHOOL
437,499,761,801,ALCHOOL
438,501,763,809,ALCHOOL
438,499,765,812,ALCHOOL
432,469,750,770,ALCHOOL
429,454,738,738,ALCHOOL
430,463,735,752,ALCHOOL
431,469,737,766,ALCHOOL
430,467,736,769,ALCHOOL
429,460,733,763,ALCHOOL
427,454,728,758,ALCHOOL
426,446,721,747,ALCHOOL
424,444,716,743,ALCHOOL
424,445,714,747,ALCHOOL
424,446,713,750,ALCHOOL
424,449,711,755,ALCHOOL
425,455,713,764,ALCHOOL
427,460,716,773,ALCHOOL
425,457,715,771,ALCHOOL
426,453,711,762,ALCHOOL
425,450,709,757,ALCHOOL
425,451,710,760,ALCHOOL
425,456,711,767,ALCHOOL
428,472,718,785,ALCHOOL
430,480,723,797,ALCHOOL
430,478,723,794,ALCHOOL
430,472,716,781,ALCHOOL
428,464,710,768,ALCHOOL
426,454,706,756,ALCHOOL
423,441,698,738,ALCHOOL
421,434,692,730,ALCHOOL
419,425,687,719,ALCHOOL
418,420,679,710,ALCHOOL
416,418,675,707,ALCHOOL
416,418,672,713,ALCHOOL
416,420,672,721,ALCHOOL
416,425,671,728,ALCHOOL
417,428,673,735,ALCHOOL
417,426,672,733,ALCHOOL
417,423,668,727,ALCHOOL
416,417,666,719,ALCHOOL
413,406,668,714,ALCHOOL
412,402,659,707,ALCHOOL
411,396,648,688,ALCHOOL
411,394,642,680,ALCHOOL
411,395,638,682,ALCHOOL
411,402,639,696,ALCHOOL
414,420,643,723,ALCHOOL
415,422,651,735,ALCHOOL
416,426,656,743,ALCHOOL
416,426,660,744,ALCHOOL
416,421,658,735,ALCHOOL
416,430,659,740,ALCHOOL
419,443,667,759,ALCHOOL
421,453,679,778,ALCHOOL
420,448,682,776,ALCHOOL
420,444,681,771,ALCHOOL
418,437,677,760,ALCHOOL
418,435,672,749,ALCHOOL
416,425,667,735,ALCHOOL
416,421,661,725,ALCHOOL
415,417,657,717,ALCHOOL
415,418,654,715,ALCHOOL
415,421,654,722,ALCHOOL
415,421,656,726,ALCHOOL
414,417,654,721,ALCHOOL
413,412,650,713,ALCHOOL
412,409,647,708,ALCHOOL
411,399,644,697,ALCHOOL
408,389,636,681,ALCHOOL
407,384,629,670,ALCHOOL
406,382,625,668,ALCHOOL
